,name,full_name,language,description,private,url
130,ss-aga-kgc,amzn/ss-aga-kgc,Python,,False,https://api.github.com/repos/amzn/ss-aga-kgc
131,sto-transformer,amzn/sto-transformer,Python,,False,https://api.github.com/repos/amzn/sto-transformer
132,style-dictionary,amzn/style-dictionary,JavaScript,A build system for creating cross-platform styles.,False,https://api.github.com/repos/amzn/style-dictionary
133,supply-chain-simulation-environment,amzn/supply-chain-simulation-environment,Python,,False,https://api.github.com/repos/amzn/supply-chain-simulation-environment
134,tiny-attribution-generator,amzn/tiny-attribution-generator,TypeScript,A small tool and library to create attribution notices from various formats,False,https://api.github.com/repos/amzn/tiny-attribution-generator
135,trans-encoder,amzn/trans-encoder,Python,Trans-Encoder: Unsupervised sentence-pair modelling through self- and mutual-distillations,False,https://api.github.com/repos/amzn/trans-encoder
136,user-satisfaction-modeling,amzn/user-satisfaction-modeling,Python,"Codebase for the paper ""Schema-guided User Satisfaction Modeling for Task-oriented Dialogues""",False,https://api.github.com/repos/amzn/user-satisfaction-modeling
137,workspace-resolver,amzn/workspace-resolver,JavaScript,Utility for development on multiple library packages in a workspace,False,https://api.github.com/repos/amzn/workspace-resolver
138,xfer,amzn/xfer,Python,Transfer Learning library for Deep Neural Networks.,False,https://api.github.com/repos/amzn/xfer
139,zeek-plugin-bacnet,amzn/zeek-plugin-bacnet,Zeek,Zeek network security monitor plugin that enables parsing of the BACnet standard building controls protocol,False,https://api.github.com/repos/amzn/zeek-plugin-bacnet
140,zeek-plugin-enip,amzn/zeek-plugin-enip,Zeek,Zeek network security monitor plugin that enables parsing of the Ethernet/IP and Common Industrial Protocol standards,False,https://api.github.com/repos/amzn/zeek-plugin-enip
141,zeek-plugin-profinet,amzn/zeek-plugin-profinet,Zeek,Zeek network security monitor plugin that enables parsing of the Profinet protocol,False,https://api.github.com/repos/amzn/zeek-plugin-profinet
142,zeek-plugin-s7comm,amzn/zeek-plugin-s7comm,Zeek,Zeek network security monitor plugin that enables parsing of the S7 protocol,False,https://api.github.com/repos/amzn/zeek-plugin-s7comm
143,zeek-plugin-tds,amzn/zeek-plugin-tds,Zeek,Zeek network security monitor plugin that enables parsing of the Tabular Data Stream (TDS) protocol,False,https://api.github.com/repos/amzn/zeek-plugin-tds
144,zero-shot-rlhr,amzn/zero-shot-rlhr,Python,,False,https://api.github.com/repos/amzn/zero-shot-rlhr
